ProjectID,ClientID,UnitID,Name,Type,Status,PlannedStartDate,PlannedEndDate,ActualStartDate,ActualEndDate,Price,CreditAt,Progress
1,3,10,Strategy Development Plan,Time and materials,In Progress (<50%),2024-04-16,2024-08-02,2024-04-18,2024-08-23,95227.47,2024-06-16,90
2,77,10,Financial Performance Review,Fixed-price,In Progress (<50%),2024-02-18,2024-06-24,2024-02-25,2024-07-08,28545.36,2024-06-27,11
3,3,3,Sustainability Plan,Fixed-price,Not Started,2024-01-28,2024-06-10,2024-01-30,2024-06-24,39790.86,2024-06-04,0
4,91,8,Sustainability Plan,Time and materials,Completed,2024-02-24,2024-05-18,2024-02-24,2024-06-03,75633.78,2024-05-09,100
5,29,10,Operational Efficiency Project,Time and materials,In Progress (<50%),2024-04-17,2024-07-06,2024-05-09,2024-08-03,77949.42,2024-05-14,81
6,34,5,Organizational Restructuring,Time and materials,Not Started,2024-05-18,2024-06-25,2024-05-25,2024-07-08,73844.57,2024-06-07,0
7,89,5,Talent Management Program,Time and materials,On Hold/Cancelled,2024-05-27,2024-07-30,2024-06-19,2024-09-10,84615.56,2024-08-04,0
8,16,8,Risk Management Assessment,Time and materials,Not Started,2024-04-23,2024-10-10,2024-05-28,2024-12-11,77392.89,2024-07-28,0
9,93,2,Operational Efficiency Project,Time and materials,In Progress (<50%),2024-04-01,2024-08-17,2024-05-25,2024-11-08,52678.6,2024-07-04,65
10,50,8,Financial Performance Review,Fixed-price,In Progress (>50%),2024-05-14,2024-07-25,2024-05-30,2024-09-06,68866.43,2024-08-22,78
11,97,6,Digital Transformation Initiative,Time and materials,In Progress (<50%),2024-03-14,2024-08-21,2024-03-14,2024-08-30,22090.11,2024-05-10,56
12,2,3,Business Process Reengineering,Time and materials,In Progress (<50%),2024-04-25,2024-10-22,2024-05-18,2024-12-13,87113.2,2024-12-01,93
13,82,10,Strategy Development Plan,Time and materials,In Progress (<50%),2024-01-06,2024-06-14,2024-02-03,2024-08-06,32820.24,2024-03-03,85
14,70,3,Risk Management Assessment,Time and materials,Completed,2024-05-07,2024-06-27,2024-05-09,2024-07-10,67692.28,2024-06-21,100
15,60,9,Talent Management Program,Time and materials,In Progress (>50%),2024-06-03,2024-08-21,2024-06-08,2024-09-01,82654.84,2024-08-07,84
16,40,8,Talent Management Program,Fixed-price,Not Started,2024-05-13,2024-08-03,2024-05-14,2024-08-25,64287.21,2024-06-06,0
17,11,3,Competitive Benchmarking Study,Time and materials,In Progress (<50%),2024-02-26,2024-05-25,2024-03-23,2024-07-03,86881.75,2024-04-27,53
18,26,7,Strategy Development Plan,Fixed-price,Not Started,2024-05-07,2024-10-09,2024-06-11,2024-11-13,48099.45,2024-07-08,0
19,7,10,Organizational Restructuring,Time and materials,In Progress (>50%),2024-02-21,2024-04-09,2024-03-15,2024-05-20,75501.82,2024-04-13,51
20,39,6,Customer Experience Improvement,Fixed-price,In Progress (>50%),2024-05-17,2024-07-16,2024-05-20,2024-08-11,31620.73,2024-05-22,73
21,65,2,IT System Integration,Time and materials,In Progress (>50%),2024-01-30,2024-05-11,2024-02-02,2024-05-11,26370.27,2024-03-25,42
22,61,4,Competitive Benchmarking Study,Time and materials,Completed,2024-04-06,2024-05-15,2024-04-13,2024-05-14,88984.66,2024-04-18,100
23,43,2,Talent Management Program,Fixed-price,Not Started,2024-05-11,2024-07-02,2024-06-07,2024-08-08,54509.2,2024-06-17,0
24,70,6,Strategy Development Plan,Time and materials,On Hold/Cancelled,2024-03-13,2024-04-27,2024-03-19,2024-05-06,73364.84,2024-04-22,0
25,32,5,Competitive Benchmarking Study,Time and materials,Not Started,2024-02-02,2024-03-06,2024-02-27,2024-04-06,80761.48,2024-03-20,0
26,37,8,Organizational Restructuring,Time and materials,In Progress (>50%),2024-06-05,2024-09-20,2024-06-10,2024-10-05,21590.68,2024-08-04,83
27,90,1,Operational Efficiency Project,Fixed-price,In Progress (>50%),2024-05-15,2024-07-09,2024-05-20,2024-07-17,39154.46,2024-05-23,74
28,77,2,Customer Experience Improvement,Fixed-price,In Progress (>50%),2024-04-10,2024-07-19,2024-04-25,2024-08-30,32512.3,2024-07-16,33
29,97,6,Operational Efficiency Project,Time and materials,Completed,2024-01-11,2024-03-03,2024-01-12,2024-02-26,76552.45,2024-01-30,100
30,87,4,Change Management Strategy,Time and materials,In Progress (<50%),2024-01-20,2024-05-12,2024-01-27,2024-05-22,16451.45,2024-04-04,21
31,72,6,Financial Performance Review,Time and materials,Completed,2024-02-21,2024-05-29,2024-02-24,2024-05-31,93389.74,2024-05-12,100
32,43,3,Customer Experience Improvement,Fixed-price,In Progress (<50%),2024-01-27,2024-03-27,2024-02-01,2024-04-27,94812.41,2024-04-08,21
33,13,7,Risk Management Assessment,Time and materials,Completed,2024-04-25,2024-06-01,2024-04-30,2024-06-14,42749.45,2024-05-13,100
34,46,2,Business Process Reengineering,Time and materials,In Progress (<50%),2024-03-20,2024-06-25,2024-03-24,2024-07-13,70192.71,2024-05-21,72
35,51,2,Digital Transformation Initiative,Fixed-price,In Progress (>50%),2024-01-07,2024-05-10,2024-01-12,2024-06-06,31165.74,2024-03-21,98
36,14,8,Operational Efficiency Project,Time and materials,In Progress (>50%),2024-05-17,2024-07-23,2024-06-12,2024-08-19,25943.9,2024-06-28,34
37,24,10,Digital Transformation Initiative,Time and materials,In Progress (<50%),2024-01-14,2024-06-18,2024-02-02,2024-07-06,25733.53,2024-05-15,93
38,38,10,Supply Chain Optimization,Fixed-price,In Progress (<50%),2024-03-09,2024-06-21,2024-03-11,2024-07-14,64419.81,2024-07-08,87
39,49,8,Operational Efficiency Project,Time and materials,In Progress (<50%),2024-01-28,2024-05-17,2024-02-14,2024-07-02,23877.83,2024-02-19,18
40,25,4,IT System Integration,Fixed-price,In Progress (<50%),2024-03-20,2024-04-28,2024-04-05,2024-05-31,64475.42,2024-05-29,35
41,81,5,Talent Management Program,Fixed-price,In Progress (<50%),2024-06-01,2024-11-13,2024-06-03,2024-12-14,14273.11,2024-10-22,33
42,23,7,Organizational Restructuring,Time and materials,In Progress (<50%),2024-05-30,2024-10-18,2024-05-31,2024-10-23,24192.48,2024-09-12,19
43,58,3,Digital Transformation Initiative,Time and materials,Completed,2024-01-04,2024-04-18,2024-01-21,2024-05-05,78539.11,2024-02-11,100
44,60,2,Business Process Reengineering,Fixed-price,In Progress (<50%),2024-03-11,2024-04-29,2024-03-11,2024-04-29,89728.25,2024-04-15,10
45,28,1,Market Analysis Report,Fixed-price,In Progress (<50%),2024-05-15,2024-09-16,2024-05-22,2024-10-22,58333.6,2024-09-28,34
46,41,10,Operational Efficiency Project,Time and materials,On Hold/Cancelled,2024-02-20,2024-05-07,2024-02-20,2024-05-22,17131.5,2024-04-26,0
47,96,8,Change Management Strategy,Time and materials,In Progress (>50%),2024-01-26,2024-05-02,2024-02-15,2024-06-16,12379.82,2024-04-12,39
48,99,3,Risk Management Assessment,Time and materials,In Progress (<50%),2024-03-27,2024-07-13,2024-04-03,2024-08-13,42933.65,2024-05-06,55
49,49,4,IT System Integration,Fixed-price,In Progress (<50%),2024-05-18,2024-08-15,2024-05-19,2024-08-23,29270.42,2024-07-24,76
50,23,3,Customer Experience Improvement,Time and materials,In Progress (<50%),2024-06-06,2024-08-23,2024-06-10,2024-08-18,13908.31,2024-07-03,20
51,43,3,Strategy Development Plan,Fixed-price,In Progress (<50%),2024-04-29,2024-10-08,2024-05-21,2024-11-03,46954.02,2024-08-05,0
52,88,9,Operational Efficiency Project,Time and materials,In Progress (<50%),2024-01-27,2024-03-29,2024-02-23,2024-04-24,90425.23,2024-03-07,12
53,92,4,Financial Performance Review,Time and materials,Completed,2024-01-04,2024-06-24,2024-01-06,2024-06-21,59145.91,2024-06-01,100
54,69,6,Strategy Development Plan,Time and materials,In Progress (<50%),2024-02-22,2024-07-16,2024-03-18,2024-08-17,71566.01,2024-04-28,36
55,19,6,Business Process Reengineering,Time and materials,In Progress (<50%),2024-04-03,2024-07-27,2024-05-23,2024-09-25,37066.19,2024-09-16,23
56,23,7,Risk Management Assessment,Fixed-price,In Progress (>50%),2024-04-06,2024-09-08,2024-04-12,2024-09-14,24047.11,2024-09-03,56
57,37,2,Operational Efficiency Project,Time and materials,In Progress (<50%),2024-02-06,2024-03-07,2024-02-24,2024-03-15,31271.16,2024-03-10,34
58,91,9,Financial Performance Review,Time and materials,Not Started,2024-02-09,2024-03-17,2024-03-04,2024-04-01,10740.34,2024-03-13,0
59,91,10,Customer Experience Improvement,Time and materials,In Progress (>50%),2024-04-01,2024-06-16,2024-04-01,2024-07-05,16953.76,2024-05-19,94
60,95,2,Digital Transformation Initiative,Time and materials,On Hold/Cancelled,2024-05-15,2024-09-29,2024-05-17,2024-10-30,29573.55,2024-09-07,0
61,77,4,IT System Integration,Fixed-price,In Progress (<50%),2024-05-03,2024-08-01,2024-06-30,2024-10-04,29903.91,2024-10-03,55
62,60,3,Organizational Restructuring,Time and materials,In Progress (<50%),2024-04-28,2024-09-07,2024-05-18,2024-09-17,84708.43,2024-08-06,22
