ProjectID,DeliverableName,StartDate,EndDate,Duration(Days)
1,Project Plan,2019-05-02,2019-05-11,10
1,Requirements Specification,2019-05-12,2019-05-30,19
1,Design Document,2019-05-31,2019-06-26,27
1,Code,2019-06-27,2019-07-15,19
1,Unit Test,2019-07-16,2019-07-24,9
1,System Test,2019-07-25,2019-08-30,37
2,Project Plan,2017-01-17,2017-01-29,13
2,Requirements Specification,2017-01-30,2017-02-20,22
2,Design Document,2017-02-21,2017-03-15,23
2,Code,2017-03-16,2017-03-31,16
2,Unit Test,2017-04-01,2017-04-09,9
2,System Test,2017-04-10,2017-05-14,35
3,Project Plan,2020-06-24,2020-07-03,10
3,Requirements Specification,2020-07-04,2020-07-17,14
3,Design Document,2020-07-18,2020-08-04,18
3,Code,2020-08-05,2020-08-17,13
3,Unit Test,2020-08-18,2020-08-24,7
3,System Test,2020-08-25,2020-10-06,43
4,Project Plan,2018-02-07,2018-02-14,8
4,Requirements Specification,2018-02-15,2018-03-01,15
4,Design Document,2018-03-02,2018-03-31,30
4,Code,2018-04-01,2018-04-14,14
4,Unit Test,2018-04-15,2018-04-24,10
4,System Test,2018-04-25,2018-05-19,25
5,Project Plan,2020-01-31,2020-02-07,8
5,Requirements Specification,2020-02-08,2020-02-27,20
5,Design Document,2020-02-28,2020-03-18,20
5,Code,2020-03-19,2020-04-03,16
5,Unit Test,2020-04-04,2020-04-11,8
5,System Test,2020-04-12,2020-05-18,37
6,Project Plan,2015-10-28,2015-11-04,8
6,Requirements Specification,2015-11-05,2015-11-29,25
6,Design Document,2015-11-30,2015-12-23,24
6,Code,2015-12-24,2016-01-03,11
6,Unit Test,2016-01-04,2016-01-14,11
6,System Test,2016-01-15,2016-02-10,27
7,Project Plan,2015-05-18,2015-05-27,10
7,Requirements Specification,2015-05-28,2015-06-10,14
7,Design Document,2015-06-11,2015-06-29,19
7,Code,2015-06-30,2015-07-14,15
7,Unit Test,2015-07-15,2015-07-25,11
7,System Test,2015-07-26,2015-09-04,41
8,Project Plan,2019-03-15,2019-03-23,9
8,Requirements Specification,2019-03-24,2019-04-11,19
8,Design Document,2019-04-12,2019-04-30,19
8,Code,2019-05-01,2019-05-12,12
8,Unit Test,2019-05-13,2019-05-21,9
8,System Test,2019-05-22,2019-07-10,50
9,Project Plan,2015-08-06,2015-08-15,10
9,Requirements Specification,2015-08-16,2015-08-29,14
9,Design Document,2015-08-30,2015-09-24,26
9,Code,2015-09-25,2015-10-07,13
9,Unit Test,2015-10-08,2015-10-15,8
9,System Test,2015-10-16,2015-11-30,46
10,Project Plan,2018-05-27,2018-06-07,12
10,Requirements Specification,2018-06-08,2018-06-29,22
10,Design Document,2018-06-30,2018-07-20,21
10,Code,2018-07-21,2018-08-03,14
10,Unit Test,2018-08-04,2018-08-13,10
10,System Test,2018-08-14,2018-10-01,49
11,Project Plan,2017-01-28,2017-02-05,9
11,Requirements Specification,2017-02-06,2017-02-24,19
11,Design Document,2017-02-25,2017-03-16,20
11,Code,2017-03-17,2017-03-27,11
11,Unit Test,2017-03-28,2017-04-07,11
11,System Test,2017-04-08,2017-05-30,53
12,Project Plan,2019-01-20,2019-01-28,9
12,Requirements Specification,2019-01-29,2019-02-20,23
12,Design Document,2019-02-21,2019-03-18,26
12,Code,2019-03-19,2019-03-31,13
12,Unit Test,2019-04-01,2019-04-10,10
12,System Test,2019-04-11,2019-06-04,55
13,Project Plan,2018-01-24,2018-02-01,9
13,Requirements Specification,2018-02-02,2018-02-25,24
13,Design Document,2018-02-26,2018-03-11,14
13,Code,2018-03-12,2018-03-28,17
13,Unit Test,2018-03-29,2018-04-07,10
13,System Test,2018-04-08,2018-05-14,37
14,Project Plan,2018-12-15,2018-12-24,10
14,Requirements Specification,2018-12-25,2019-01-07,14
14,Design Document,2019-01-08,2019-01-31,24
14,Code,2019-02-01,2019-02-16,16
14,Unit Test,2019-02-17,2019-02-28,12
14,System Test,2019-03-01,2019-04-03,34
15,Project Plan,2020-02-01,2020-02-08,8
15,Requirements Specification,2020-02-09,2020-02-26,18
15,Design Document,2020-02-27,2020-03-25,28
15,Code,2020-03-26,2020-04-09,15
15,Unit Test,2020-04-10,2020-04-17,8
15,System Test,2020-04-18,2020-06-01,45
16,Project Plan,2015-04-15,2015-04-24,10
16,Requirements Specification,2015-04-25,2015-05-16,22
16,Design Document,2015-05-17,2015-06-07,22
16,Code,2015-06-08,2015-06-21,14
16,Unit Test,2015-06-22,2015-06-30,9
16,System Test,2015-07-01,2015-07-25,25
17,Project Plan,2019-04-01,2019-04-10,10
17,Requirements Specification,2019-04-11,2019-04-30,20
17,Design Document,2019-05-01,2019-05-25,25
17,Code,2019-05-26,2019-06-08,14
17,Unit Test,2019-06-09,2019-06-15,7
17,System Test,2019-06-16,2019-07-20,35
18,Project Plan,2018-05-22,2018-05-30,9
18,Requirements Specification,2018-05-31,2018-06-16,17
