ProjectID,ClientID,UnitID,Name,Type,Status,PlannedStartDate,PlannedEndDate,ActualStartDate,ActualEndDate,Price,CreditAt,Progress
1,4,7,Sustainability Plan,Time and materials,Completed,2024-04-14,2024-07-28,2024-04-19,2024-08-04,47867.11,2024-06-24,100
2,18,3,Organizational Restructuring,Fixed-price,On Hold/Cancelled,2024-03-16,2024-08-29,2024-04-07,2024-09-22,92366.03,2024-09-18,0
3,7,6,Strategy Development Plan,Fixed-price,In Progress (<50%),2024-05-27,2024-07-05,2024-06-02,2024-07-27,77994.11,2024-07-07,69
4,30,5,Organizational Restructuring,Time and materials,In Progress (<50%),2024-01-18,2024-07-15,2024-02-10,2024-08-29,37385.05,2024-04-06,46
5,12,3,Customer Experience Improvement,Time and materials,In Progress (<50%),2024-04-03,2024-08-09,2024-04-25,2024-09-07,38985.09,2024-07-06,94
6,94,3,Strategy Development Plan,Fixed-price,Completed,2024-05-24,2024-11-13,2024-05-27,2024-11-28,16874.13,2024-07-19,100
7,29,2,Risk Management Assessment,Fixed-price,In Progress (<50%),2024-03-04,2024-08-08,2024-03-06,2024-08-10,67532.62,2024-04-04,27
8,6,2,Market Analysis Report,Fixed-price,In Progress (<50%),2024-04-23,2024-07-12,2024-05-21,2024-08-17,89319.09,2024-07-07,48
9,68,10,Operational Efficiency Project,Time and materials,Completed,2024-04-14,2024-09-06,2024-05-15,2024-10-10,63043.38,2024-09-27,100
10,1,7,Digital Transformation Initiative,Time and materials,In Progress (<50%),2024-01-24,2024-05-06,2024-03-07,2024-07-15,31761.23,2024-06-02,41
11,40,4,Change Management Strategy,Fixed-price,In Progress (>50%),2024-05-22,2024-10-18,2024-06-16,2024-11-20,25689.34,2024-07-18,3
12,75,3,Organizational Restructuring,Time and materials,In Progress (>50%),2024-01-29,2024-04-01,2024-02-02,2024-04-09,32778.29,2024-03-16,91
13,70,4,Supply Chain Optimization,Time and materials,Completed,2024-05-03,2024-09-04,2024-06-26,2024-10-28,48245.06,2024-07-12,100
14,91,2,Talent Management Program,Time and materials,Not Started,2024-04-04,2024-07-25,2024-04-05,2024-08-09,86095.47,2024-04-21,0
15,58,7,Market Analysis Report,Fixed-price,On Hold/Cancelled,2024-02-26,2024-07-15,2024-02-29,2024-07-16,18812.29,2024-05-10,0
